date,Countries,TarrifImpose_Clean,avEffectiveTariffRate,US 2024 Deficit,gdp,cpeInflation,GDP_Sensitivity_Factor,Sourcing_Risk_Score,Risk_Label,Actionable_Insight
2025-04-09,Malaysia,0.24,0.27,-24830.1,-0.039550892,0.023425452,0.0007304600800000435,45.6959848,HIGH,High Risk. Costs rising (2.34%). Monitor closely.
2025-04-09,Mauritius,0.4,0.0,-186.5,-0.000407583,0.000241406,-0.0006296474599999998,0.47090999999999994,LOW,Safe Haven Candidate. GDP Stable (-0.04%).
2025-04-09,Moldova,0.31,0.0,-82.9,-0.000170895,0.000101219,-0.0008634125699999998,0.19744740000000002,LOW,Safe Haven Candidate. GDP Stable (-0.02%).
2025-04-09,Mozambique,0.16,0.0,-66.4,-0.000115294,6.83e-05,-0.0009190135699999999,0.1332152,LOW,Safe Haven Candidate. GDP Stable (-0.01%).
2025-04-09,Myanmar,0.44,0.01,,-0.001225093,0.000725606,-0.0009248823999999994,1.415438,LOW,Safe Haven Candidate. GDP Stable (-0.12%).
2025-04-09,Namibia,0.21,0.0,-114.7,-0.000175928,0.0001042,-0.0008594822699999999,0.2032624,LOW,Safe Haven Candidate. GDP Stable (-0.02%).
2025-04-09,Nauru,0.3,0.0,-1.3,-2.7e-06,1.6e-06,-0.0010304816299999996,0.00312,LOW,Safe Haven Candidate. GDP Stable (-0.00%).
2025-04-09,Nicaragua,0.18,0.02,-1681.3,-0.002776384,0.001644414,-8.497009999998764e-06,3.2077556,LOW,Safe Haven Candidate. GDP Stable (-0.28%).
2025-04-09,Nigeria,0.14,0.0,-1524.9,-0.000253052,0.000149879,-0.0016191796300000008,0.292369,LOW,Safe Haven Candidate. GDP Stable (-0.03%).
2025-04-09,North Macedonia,0.33,0.0,-113.1,-0.000225564,0.000133598,-0.0008098462699999998,0.26061,LOW,Safe Haven Candidate. GDP Stable (-0.02%).
2025-04-09,Norway,0.15,0.02,-1991.3,-0.002545516,0.001507674,-0.00014240044999999993,2.9410172,LOW,Safe Haven Candidate. GDP Stable (-0.25%).
2025-04-09,Pakistan,0.29,0.04,-2988.5,-0.006248713,0.003701027,-0.0004635435199999991,7.219586600000001,LOW,Safe Haven Candidate. GDP Stable (-0.62%).
2025-04-09,Philippines,0.17,0.05,-4880.3,-0.007746896,0.004588381,-0.0002752139900000037,8.9505454,LOW,Safe Haven Candidate. GDP Stable (-0.77%).
2025-04-09,Serbia,0.37,0.01,-604.5,-0.000872873,0.000516991,-0.0012771023999999993,1.008493,LOW,Safe Haven Candidate. GDP Stable (-0.09%).
2025-04-09,South Africa,0.3,0.06,-8836.8,-0.008602352,0.005095055,-0.0006694286100000085,9.9389146,LOW,Safe Haven Candidate. GDP Stable (-0.86%).
2025-04-09,South Korea,0.25,0.46,-66007.4,-0.066409485,0.039333429,-0.0022786795800000953,100.0,CRITICAL,CRITICAL ALERT: High Tariff (>15%) + Large Deficit (>$66B). Risk TRIPLED. Immediate exit advised.
2025-04-09,Sri Lanka,0.44,0.04,-2647.4,-0.005630873,0.003335089,-0.000896031519999999,6.5057518,LOW,Safe Haven Candidate. GDP Stable (-0.56%).
2025-04-09,Switzerland,0.31,0.35,-38463.3,-0.050142752,0.029698865,-0.0010495922700000382,57.819319,HIGH,High Risk. Costs rising (2.97%). Monitor closely.
2025-04-09,Syria,0.41,0.0,90.0,-1.92e-05,1.13e-05,-0.0010141466299999997,0.02214,LOW,Safe Haven Candidate. GDP Stable (-0.00%).
2025-04-09,Taiwan,0.32,0.62,-73927.2,-0.089934315,0.053266864,0.005053152520000062,100.0,CRITICAL,CRITICAL ALERT: High Tariff (>15%) + Large Deficit (>$74B). Risk TRIPLED. Immediate exit advised.
2025-04-09,Thailand,0.36,0.5,-45608.9,-0.071775796,0.042511821,0.0016133726500000695,65.5070926,HIGH,High Risk. Costs rising (4.25%). Monitor closely.
2025-04-09,Tunisia,0.28,0.01,-619.6,-0.001295106,0.000767073,-0.0009182043499999998,1.4963286,LOW,Safe Haven Candidate. GDP Stable (-0.13%).
2025-04-09,Vanuatu,0.22,0.0,-6.1,-1.32e-05,7.84e-06,-0.0010200866299999998,0.015264,LOW,Safe Haven Candidate. GDP Stable (-0.00%).
2025-04-09,Venezuela,0.15,0.0,-1755.8,-0.00018168,0.000107606,-0.0016639123100000007,0.2099076,LOW,Safe Haven Candidate. GDP Stable (-0.02%).
2025-04-09,Vietnam,0.46,1.53,-123463.0,-0.219751278,0.130155673,0.021343328099999725,100.0,CRITICAL,CRITICAL ALERT: High Tariff (>15%) + Large Deficit (>$123B). Risk TRIPLED. Immediate exit advised.
2025-04-09,Zambia,0.17,0.0,-55.3,-0.000105603,6.25e-05,-0.0009286076599999998,0.12198240000000002,LOW,Safe Haven Candidate. GDP Stable (-0.01%).
2025-04-09,Zimbabwe,0.18,0.0,-24.1,-5.35e-05,3.17e-05,-0.00097967803,0.06182,LOW,Safe Haven Candidate. GDP Stable (-0.01%).
